Product Name,Quantity,Retail Price,Received,Profit,Amazon Link,Ebay Link
"Cafe Du Monde Coffee Chicory, 15 Ounce Ground",1,9.49,13.09,1.64,https://www.amazon.com/Cafe-Du-Monde-Coffee-Chicory-15-Ounce-Ground/dp/B0000E5JIU?tag=dcaft-20,https://www.ebay.com/itm/266715199973
"1"" Female Ball Valve NPT Thread 316 Stainless Steel Full Port Ball Valve WOG1000",4,47.92,76.12,16.8,https://www.amazon.com/dp/B06X9L4QN5?tag=dcaft-20,https://www.ebay.com/itm/404854409126
"Foods Alive Non-Fortified Premium Nutritional Yeast Flakes, 6 ounce Unfortified vegan cheese powder seasoning",1,9.89,13.72,1.77,https://www.amazon.com/dp/B007UZ5LQG?tag=dcaft-20,https://www.ebay.com/itm/395045315843
"120 Grit Continuous Sandpaper Roll 1"" x 8.7 Yard Emery Cloth Aluminium Oxide Abrasive Sandpaper Roll Drum Sander Sandpaper Rolls for Wood Furniture Finishing Metal Sanding Automotive Polishing",1,7.99,12.69,2.8,https://www.amazon.com/80-Grit-Continuous-Sandpaper-Roll-1-X-26-Feet-Emery-Cloth-Aluminium-Oxide-Abras/dp/B09XXBJB78?tag=dcaft-20,https://www.ebay.com/itm/285647252076
"Metal Shoe Horn Long Handle for Seniors, Heavy Duty 16 Inch Long Shoe Horns for Boots, Extra Long ShoeHorn for Kids",1,6.35,11.41,3.35,https://www.amazon.com/Metal-ShoeHorn-Heavy-Helper-Women/dp/B09ZDTVFR2?tag=dcaft-20,https://www.ebay.com/itm/355464964194
"Rust-Oleum 7590838 Professional High Performance Enamel Spray Paint, 15 Oz, Flat White",1,10.68,14.09,1.3,https://www.amazon.com/Rust-Oleum-7578838-Professional-Performance-Enamel/dp/B0009XB43A?tag=dcaft-20,https://www.ebay.com/itm/355572038746
"Paradise Old English Fruit and Peel Mix, 32 Oz",1,12.17,17.12,2.38,https://www.amazon.com/Paradise-Old-English-Fruit-And-Peel-Mix-32-Oz/dp/B003O6CRIK?tag=dcaft-20,https://www.ebay.com/itm/355460449777
"Saf Instant Yeast, 1 Pound Pouch",1,9.63,13.84,2.13,https://www.amazon.com/Saf-Instant-Yeast-Pound-Pouch/dp/B0001CXUHW?tag=dcaft-20,https://www.ebay.com/itm/225868917274
Lava 10185 Pumice Hand Cleaning and Moisturizing Bar Soap 5.75 Ounces (6 Pack),1,18.5,24,1.9,https://www.amazon.com/Lava-Pumice-Cleaning-Moisturizing-Ounces/dp/B07QRWP9GR?tag=dcaft-20,https://www.ebay.com/itm/145707336476
The Peanut Butter Falcon,1,5.29,7.91,1.43,https://www.amazon.com/Peanut-Butter-Falcon-Dakota-Johnson/dp/B07Y9BWCGJ?tag=dcaft-20,https://www.ebay.com/itm/404705960026
JQuad (2 Pack Keyed Alike) Truck Tool Box Locks with Keys - Replacement Pickup Toolbox Lock Cylinder for Latch (2 Pack),1,15.03,19.23,1.32,https://www.amazon.com/dp/B07CB419HR?tag=dcaft-20,https://www.ebay.com/itm/375288589672
Didache: The Teaching of the Twelve Apostles,1,1.96,3.54,1.05,https://www.amazon.com/Didache-Teaching-Fr-Mark-Bylander/dp/0764825771?tag=dcaft-20,https://www.ebay.com/itm/404632933084
"HealthA2Z Sleep Aid, Diphenhydramine Softgels, 50mg, Supports Deeper, Restful Sleeping, Non Habit-Forming (250 Count)",1,11.85,15.99,1.74,https://www.amazon.com/dp/B0848WCZFM?tag=dcaft-20,https://www.ebay.com/itm/226063142454
"Wax Warmer Bulbs 6 Pack, G50 25 Watt Light Bulbs for Full Size Scentsy Warmers, E12 Base G16.5 Globe Clear Bulb for Candle Wax Warmer, Long Lifespan, 120 Volt",1,6.37,9.82,1.98,https://www.amazon.com/dp/B09N6ZQB54?tag=dcaft-20,https://www.ebay.com/itm/355460112405
"OX Tools Tuff Carbon Marking Pencil Replacement Lead 10-Pack with Red, Blue & White Lead, 2.88 mm lead - Designed For Tile Marking, OX-P503204",1,9.99,14.1,2,https://www.amazon.com/dp/B09GS6CX8J?tag=dcaft-20,https://www.ebay.com/itm/296208312117
